# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.0 Build 711 06/05/2020 SJ Lite Edition
# File: C:\Users\adamj\Downloads\test\test.csv
# Generated on: Thu Oct 01 19:25:04 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
HEX2[1],Output,PIN_A20,7,B7_N0,PIN_A20,2.5 V,,,,,
HEX2[0],Output,PIN_B20,6,B6_N0,PIN_B20,2.5 V,,,,,
HEX3[6],Output,PIN_E17,6,B6_N0,PIN_E17,2.5 V,,,,,
HEX3[5],Output,PIN_D19,6,B6_N0,PIN_D19,2.5 V,,,,,
HEX3[4],Output,PIN_C20,6,B6_N0,PIN_C20,2.5 V,,,,,
HEX3[3],Output,PIN_C19,7,B7_N0,PIN_C19,2.5 V,,,,,
HEX3[2],Output,PIN_E21,6,B6_N0,PIN_E21,2.5 V,,,,,
HEX3[1],Output,PIN_E22,6,B6_N0,PIN_E22,2.5 V,,,,,
HEX3[0],Output,PIN_F21,6,B6_N0,PIN_F21,2.5 V,,,,,
LEDR[9],Output,PIN_B11,7,B7_N0,PIN_B11,2.5 V,,,,,
LEDR[8],Output,PIN_A11,7,B7_N0,PIN_A11,2.5 V,,,,,
LEDR[7],Output,PIN_D14,7,B7_N0,PIN_D14,2.5 V,,,,,
LEDR[6],Output,PIN_E14,7,B7_N0,PIN_E14,2.5 V,,,,,
LEDR[5],Output,PIN_C13,7,B7_N0,PIN_C13,2.5 V,,,,,
LEDR[4],Output,PIN_D13,7,B7_N0,PIN_D13,2.5 V,,,,,
LEDR[3],Output,PIN_B10,7,B7_N0,PIN_B10,2.5 V,,,,,
LEDR[2],Output,PIN_A10,7,B7_N0,PIN_A10,2.5 V,,,,,
LEDR[1],Output,PIN_A9,7,B7_N0,PIN_A9,2.5 V,,,,,
LEDR[0],Output,PIN_A8,7,B7_N0,PIN_A8,2.5 V,,,,,
SW[9],Input,PIN_F15,7,B7_N0,PIN_F15,2.5 V,,,,,
SW[8],Input,PIN_B14,7,B7_N0,PIN_B14,2.5 V,,,,,
SW[7],Input,PIN_A14,7,B7_N0,PIN_A14,2.5 V,,,,,
SW[6],Input,PIN_A13,7,B7_N0,PIN_A13,2.5 V,,,,,
SW[5],Input,PIN_B12,7,B7_N0,PIN_B12,2.5 V,,,,,
SW[4],Input,PIN_A12,7,B7_N0,PIN_A12,2.5 V,,,,,
SW[3],Input,PIN_C12,7,B7_N0,PIN_C12,2.5 V,,,,,
SW[2],Input,PIN_D12,7,B7_N0,PIN_D12,2.5 V,,,,,
SW[1],Input,PIN_C11,7,B7_N0,PIN_C11,2.5 V,,,,,
SW[0],Input,PIN_C10,7,B7_N0,PIN_C10,2.5 V,,,,,
ADC_CLK_10,Unknown,PIN_N5,2,B2_N0,,,,,,,
MAX10_CLK1_50,Unknown,PIN_P11,3,B3_N0,,,,,,,
MAX10_CLK2_50,Unknown,PIN_N14,6,B6_N0,,,,,,,
DRAM_ADDR[0],Unknown,PIN_U17,5,B5_N0,,,,,,,
DRAM_ADDR[1],Unknown,PIN_W19,5,B5_N0,,,,,,,
DRAM_ADDR[2],Unknown,PIN_V18,5,B5_N0,,,,,,,
DRAM_ADDR[3],Unknown,PIN_U18,5,B5_N0,,,,,,,
DRAM_ADDR[4],Unknown,PIN_U19,5,B5_N0,,,,,,,
DRAM_ADDR[5],Unknown,PIN_T18,5,B5_N0,,,,,,,
DRAM_ADDR[6],Unknown,PIN_T19,5,B5_N0,,,,,,,
DRAM_ADDR[7],Unknown,PIN_R18,5,B5_N0,,,,,,,
DRAM_ADDR[8],Unknown,PIN_P18,5,B5_N0,,,,,,,
DRAM_ADDR[9],Unknown,PIN_P19,5,B5_N0,,,,,,,
DRAM_ADDR[10],Unknown,PIN_T20,5,B5_N0,,,,,,,
DRAM_ADDR[11],Unknown,PIN_P20,5,B5_N0,,,,,,,
DRAM_ADDR[12],Unknown,PIN_R20,5,B5_N0,,,,,,,
DRAM_BA[0],Unknown,PIN_T21,5,B5_N0,,,,,,,
DRAM_BA[1],Unknown,PIN_T22,5,B5_N0,,,,,,,
DRAM_CAS_N,Unknown,PIN_U21,5,B5_N0,,,,,,,
DRAM_CKE,Unknown,PIN_N22,5,B5_N0,,,,,,,
DRAM_CLK,Unknown,PIN_L14,6,B6_N0,,,,,,,
DRAM_CS_N,Unknown,PIN_U20,5,B5_N0,,,,,,,
DRAM_DQ[0],Unknown,PIN_Y21,5,B5_N0,,,,,,,
DRAM_DQ[1],Unknown,PIN_Y20,5,B5_N0,,,,,,,
DRAM_DQ[2],Unknown,PIN_AA22,5,B5_N0,,,,,,,
DRAM_DQ[3],Unknown,PIN_AA21,5,B5_N0,,,,,,,
DRAM_DQ[4],Unknown,PIN_Y22,5,B5_N0,,,,,,,
DRAM_DQ[5],Unknown,PIN_W22,5,B5_N0,,,,,,,
DRAM_DQ[6],Unknown,PIN_W20,5,B5_N0,,,,,,,
DRAM_DQ[7],Unknown,PIN_V21,5,B5_N0,,,,,,,
DRAM_DQ[8],Unknown,PIN_P21,5,B5_N0,,,,,,,
DRAM_DQ[9],Unknown,PIN_J22,6,B6_N0,,,,,,,
DRAM_DQ[10],Unknown,PIN_H21,6,B6_N0,,,,,,,
DRAM_DQ[11],Unknown,PIN_H22,6,B6_N0,,,,,,,
DRAM_DQ[12],Unknown,PIN_G22,6,B6_N0,,,,,,,
DRAM_DQ[13],Unknown,PIN_G20,6,B6_N0,,,,,,,
DRAM_DQ[14],Unknown,PIN_G19,6,B6_N0,,,,,,,
DRAM_DQ[15],Unknown,PIN_F22,6,B6_N0,,,,,,,
DRAM_LDQM,Unknown,PIN_V22,5,B5_N0,,,,,,,
DRAM_RAS_N,Unknown,PIN_U22,5,B5_N0,,,,,,,
DRAM_UDQM,Unknown,PIN_J21,6,B6_N0,,,,,,,
DRAM_WE_N,Unknown,PIN_V20,5,B5_N0,,,,,,,
HEX0[7],Unknown,PIN_D15,7,B7_N0,,,,,,,
HEX1[7],Unknown,PIN_A16,7,B7_N0,,,,,,,
HEX2[7],Unknown,PIN_A19,7,B7_N0,,,,,,,
HEX3[7],Unknown,PIN_D22,6,B6_N0,,,,,,,
HEX4[0],Unknown,PIN_F18,6,B6_N0,,,,,,,
HEX4[1],Unknown,PIN_E20,6,B6_N0,,,,,,,
HEX4[2],Unknown,PIN_E19,6,B6_N0,,,,,,,
HEX4[3],Unknown,PIN_J18,6,B6_N0,,,,,,,
HEX4[4],Unknown,PIN_H19,6,B6_N0,,,,,,,
HEX4[5],Unknown,PIN_F19,6,B6_N0,,,,,,,
HEX4[6],Unknown,PIN_F20,6,B6_N0,,,,,,,
HEX4[7],Unknown,PIN_F17,6,B6_N0,,,,,,,
HEX5[0],Unknown,PIN_J20,6,B6_N0,,,,,,,
HEX5[1],Unknown,PIN_K20,6,B6_N0,,,,,,,
HEX5[2],Unknown,PIN_L18,6,B6_N0,,,,,,,
HEX5[3],Unknown,PIN_N18,6,B6_N0,,,,,,,
HEX5[4],Unknown,PIN_M20,6,B6_N0,,,,,,,
HEX5[5],Unknown,PIN_N19,6,B6_N0,,,,,,,
HEX5[6],Unknown,PIN_N20,6,B6_N0,,,,,,,
HEX5[7],Unknown,PIN_L19,6,B6_N0,,,,,,,
KEY[0],Unknown,PIN_B8,7,B7_N0,,,,,,,
KEY[1],Unknown,PIN_A7,7,B7_N0,,,,,,,
VGA_B[0],Unknown,PIN_P1,2,B2_N0,,,,,,,
VGA_B[1],Unknown,PIN_T1,2,B2_N0,,,,,,,
VGA_B[2],Unknown,PIN_P4,2,B2_N0,,,,,,,
VGA_B[3],Unknown,PIN_N2,2,B2_N0,,,,,,,
VGA_G[0],Unknown,PIN_W1,2,B2_N0,,,,,,,
VGA_G[1],Unknown,PIN_T2,2,B2_N0,,,,,,,
VGA_G[2],Unknown,PIN_R2,2,B2_N0,,,,,,,
VGA_G[3],Unknown,PIN_R1,2,B2_N0,,,,,,,
VGA_HS,Unknown,PIN_N3,2,B2_N0,,,,,,,
VGA_R[0],Unknown,PIN_AA1,3,B3_N0,,,,,,,
VGA_R[1],Unknown,PIN_V1,2,B2_N0,,,,,,,
VGA_R[2],Unknown,PIN_Y2,3,B3_N0,,,,,,,
VGA_R[3],Unknown,PIN_Y1,3,B3_N0,,,,,,,
VGA_VS,Unknown,PIN_N1,2,B2_N0,,,,,,,
GSENSOR_CS_N,Unknown,PIN_AB16,4,B4_N0,,,,,,,
GSENSOR_INT[1],Unknown,PIN_Y14,4,B4_N0,,,,,,,
GSENSOR_INT[2],Unknown,PIN_Y13,4,B4_N0,,,,,,,
GSENSOR_SCLK,Unknown,PIN_AB15,4,B4_N0,,,,,,,
GSENSOR_SDI,Unknown,PIN_V11,4,B4_N0,,,,,,,
GSENSOR_SDO,Unknown,PIN_V12,4,B4_N0,,,,,,,
ARDUINO_IO[0],Unknown,PIN_AB5,3,B3_N0,,,,,,,
ARDUINO_IO[1],Unknown,PIN_AB6,3,B3_N0,,,,,,,
ARDUINO_IO[2],Unknown,PIN_AB7,3,B3_N0,,,,,,,
ARDUINO_IO[3],Unknown,PIN_AB8,3,B3_N0,,,,,,,
ARDUINO_IO[4],Unknown,PIN_AB9,3,B3_N0,,,,,,,
ARDUINO_IO[5],Unknown,PIN_Y10,3,B3_N0,,,,,,,
ARDUINO_IO[6],Unknown,PIN_AA11,4,B4_N0,,,,,,,
ARDUINO_IO[7],Unknown,PIN_AA12,4,B4_N0,,,,,,,
ARDUINO_IO[8],Unknown,PIN_AB17,4,B4_N0,,,,,,,
ARDUINO_IO[9],Unknown,PIN_AA17,4,B4_N0,,,,,,,
ARDUINO_IO[10],Unknown,PIN_AB19,4,B4_N0,,,,,,,
ARDUINO_IO[11],Unknown,PIN_AA19,4,B4_N0,,,,,,,
ARDUINO_IO[12],Unknown,PIN_Y19,4,B4_N0,,,,,,,
ARDUINO_IO[13],Unknown,PIN_AB20,4,B4_N0,,,,,,,
ARDUINO_IO[14],Unknown,PIN_AB21,4,B4_N0,,,,,,,
ARDUINO_IO[15],Unknown,PIN_AA20,4,B4_N0,,,,,,,
ARDUINO_RESET_N,Unknown,PIN_F16,7,B7_N0,,,,,,,
GPIO[0],Unknown,PIN_V10,3,B3_N0,,,,,,,
GPIO[1],Unknown,PIN_W10,3,B3_N0,,,,,,,
GPIO[2],Unknown,PIN_V9,3,B3_N0,,,,,,,
GPIO[3],Unknown,PIN_W9,3,B3_N0,,,,,,,
GPIO[4],Unknown,PIN_V8,3,B3_N0,,,,,,,
GPIO[5],Unknown,PIN_W8,3,B3_N0,,,,,,,
GPIO[6],Unknown,PIN_V7,3,B3_N0,,,,,,,
GPIO[7],Unknown,PIN_W7,3,B3_N0,,,,,,,
GPIO[8],Unknown,PIN_W6,3,B3_N0,,,,,,,
GPIO[9],Unknown,PIN_V5,3,B3_N0,,,,,,,
GPIO[10],Unknown,PIN_W5,3,B3_N0,,,,,,,
GPIO[11],Unknown,PIN_AA15,4,B4_N0,,,,,,,
GPIO[12],Unknown,PIN_AA14,4,B4_N0,,,,,,,
GPIO[13],Unknown,PIN_W13,4,B4_N0,,,,,,,
GPIO[14],Unknown,PIN_W12,4,B4_N0,,,,,,,
GPIO[15],Unknown,PIN_AB13,4,B4_N0,,,,,,,
GPIO[16],Unknown,PIN_AB12,4,B4_N0,,,,,,,
GPIO[17],Unknown,PIN_Y11,4,B4_N0,,,,,,,
GPIO[18],Unknown,PIN_AB11,4,B4_N0,,,,,,,
GPIO[19],Unknown,PIN_W11,4,B4_N0,,,,,,,
GPIO[20],Unknown,PIN_AB10,4,B4_N0,,,,,,,
GPIO[21],Unknown,PIN_AA10,3,B3_N0,,,,,,,
GPIO[22],Unknown,PIN_AA9,3,B3_N0,,,,,,,
GPIO[23],Unknown,PIN_Y8,3,B3_N0,,,,,,,
GPIO[24],Unknown,PIN_AA8,3,B3_N0,,,,,,,
GPIO[25],Unknown,PIN_Y7,3,B3_N0,,,,,,,
GPIO[26],Unknown,PIN_AA7,3,B3_N0,,,,,,,
GPIO[27],Unknown,PIN_Y6,3,B3_N0,,,,,,,
GPIO[28],Unknown,PIN_AA6,3,B3_N0,,,,,,,
GPIO[29],Unknown,PIN_Y5,3,B3_N0,,,,,,,
GPIO[30],Unknown,PIN_AA5,3,B3_N0,,,,,,,
GPIO[31],Unknown,PIN_Y4,3,B3_N0,,,,,,,
GPIO[32],Unknown,PIN_AB3,3,B3_N0,,,,,,,
GPIO[33],Unknown,PIN_Y3,3,B3_N0,,,,,,,
GPIO[34],Unknown,PIN_AB2,3,B3_N0,,,,,,,
GPIO[35],Unknown,PIN_AA2,3,B3_N0,,,,,,,
